topic_seq,derivation_version,l3_terms,n_terms,has_explicit_open_marker,path,appears_in_levels,n_levels
241,hsk3_topic_derivation_v1,进出口贸易,1,false,当代社会/经济现象/进出口贸易,5,1
242,hsk3_topic_derivation_v1,商业活动,1,false,当代社会/经济现象/商业活动,5,1
243,hsk3_topic_derivation_v1,经济发展,1,false,当代社会/经济现象/经济发展,5|6,2
244,hsk3_topic_derivation_v1,民生发展,1,false,当代社会/社会现象/民生发展,5|6,2
245,hsk3_topic_derivation_v1,新兴事物,1,false,当代社会/社会现象/新兴事物,5|6,2
246,hsk3_topic_derivation_v1,社会观念,1,false,当代社会/社会现象/社会观念,5,1
247,hsk3_topic_derivation_v1,基础设施,1,false,当代社会/社会现象/基础设施,4|5,2
248,hsk3_topic_derivation_v1,文艺形式,1,false,当代社会/文艺/文艺形式,4|5|6,3
249,hsk3_topic_derivation_v1,文艺常识,1,false,当代社会/文艺/文艺常识,5|6,2
250,hsk3_topic_derivation_v1,创作者及其作品,1,false,当代社会/文艺/创作者及其作品,4|5|6,3
251,hsk3_topic_derivation_v1,文艺活动,1,false,当代社会/文艺/文艺活动,3|4|5|6,4
252,hsk3_topic_derivation_v1,运动项目,1,false,当代社会/体育/运动项目,3|4|5|6,4
253,hsk3_topic_derivation_v1,体育赛事,1,false,当代社会/体育/体育赛事,5|6,2
254,hsk3_topic_derivation_v1,体育名人|体育故事,2,false,当代社会/体育/体育名人、体育故事,4|5,2
255,hsk3_topic_derivation_v1,交往故事|友好访问|国际合作,3,true,当代社会/中外交流/交往故事、友好访问、国际合作等,5,1
256,hsk3_topic_derivation_v1,俗语|成语|名言名句,3,true,文化与传统/语言文字/俗语、成语、名言名句等,5,1
257,hsk3_topic_derivation_v1,语言现象,1,false,文化与传统/语言文字/语言现象,5,1
258,hsk3_topic_derivation_v1,地方饮食及差异,1,true,文化与传统/民俗传统/地方饮食及差异等,5,1
259,hsk3_topic_derivation_v1,传统节日与习俗,1,false,文化与传统/民俗传统/传统节日与习俗,4|5|6,3
260,hsk3_topic_derivation_v1,民间传说,1,false,文化与传统/民俗传统/民间传说,5|6,2
261,hsk3_topic_derivation_v1,古代生活,1,false,文化与传统/民俗传统/古代生活,5|6,2
262,hsk3_topic_derivation_v1,名胜古迹|传统民居|建筑,3,true,文化与传统/人文景观/名胜古迹、传统民居、建筑等,5|6,2
263,hsk3_topic_derivation_v1,哲学思想,1,false,文化与传统/传统思想与艺术/哲学思想,5|6,2
264,hsk3_topic_derivation_v1,传统艺术,1,false,文化与传统/传统思想与艺术/传统艺术,5|6,2
