topic_seq,mapping_version,axis_code,scope_code,app_domain_code,has_state_administration_frame,coding_status,selection_status,exclusion_reason_code,coded_by,coded_at,notes
55,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
56,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
57,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
58,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
59,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
60,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
61,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
62,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
63,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
64,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
65,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
66,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
67,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
68,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
69,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
70,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
71,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
72,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
73,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
74,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
75,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
76,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
77,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
78,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
79,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
80,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
81,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
82,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
83,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
84,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
85,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
86,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
87,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
88,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
89,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
90,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
91,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
92,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
93,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
94,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
95,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
96,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
97,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
98,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
99,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
100,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
101,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
102,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
103,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
104,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
105,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
106,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
